"TreeID","X","Y","Radius","Error","H","h_radius","dbh","Plot","Plot_ID","Plot_name","dbh_cm"
1,15.2291081606983,-2.98869001593629,0.161892626579689,0.000507907646506447,23.8099994493269,1.3,0.323785253159379,"Plot 1","9_Tree1_Hood",1,32.3785253159379
2,13.1418804169323,0.131554499226286,0.095111516654224,0.000538829453483081,22.7299995417681,1.3,0.190223033308448,"Plot 1","9_Tree1_Hood",1,19.0223033308448
3,12.6351771663048,-9.50965881406398,0.158874627208342,0.000485599584896087,22.1000003614713,1.3,0.317749254416685,"Plot 1","9_Tree1_Hood",1,31.7749254416685
4,12.1044300618094,3.42774933424234,0.116149872115037,0.000433812030482842,23.6200008214429,1.3,0.232299744230073,"Plot 1","9_Tree1_Hood",1,23.2299744230073
5,12.0334310516077,2.31978545593705,0.141645468815496,0.000373007260133146,23.9300002957167,1.3,0.283290937630993,"Plot 1","9_Tree1_Hood",1,28.3290937630993
6,7.52371669493717,-4.95450240066716,0.0962116540259345,0.000361078550767449,22.5400009138841,1.3,0.192423308051869,"Plot 1","9_Tree1_Hood",1,19.2423308051869
7,7.21778881530552,5.33041531823092,0.0332114477784516,0.0003848643829773,23.5300006703005,1.3,0.0664228955569033,"Plot 1","9_Tree1_Hood",1,6.64228955569033
8,7.11567876790609,0.882136740620801,0.0842628833310325,0.000352146320018945,23.559999459398,1.3,0.168525766662065,"Plot 1","9_Tree1_Hood",1,16.8525766662065
9,7.22126177394008,5.25186564813353,0.0327880394948704,0.000399231159674512,23.2299995216259,1.3,0.0655760789897408,"Plot 1","9_Tree1_Hood",1,6.55760789897408
10,6.66990067885258,-7.39071084054113,0.149370637226684,0.000258263504552711,23.1200008131351,1.3,0.298741274453369,"Plot 1","9_Tree1_Hood",1,29.8741274453369
11,6.3266505332181,4.11635051568317,0.13735296885737,0.000177317402454977,23.3799991571132,1.3,0.27470593771474,"Plot 1","9_Tree1_Hood",1,27.470593771474
12,5.9502417509958,-9.31511819299599,0.63282347190988,0.000877296755540879,21.9300002909357,1.3,1.26564694381976,"Plot 1","9_Tree1_Hood",1,126.564694381976
